Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2025,"11        ",Male,16,Right-Handed,5’10,N/A,N/A,1,Car,12,.76,59,Other,800,800,800,800,800,800,N/A,"Left foot",N/A,N/A,"Index finger",February,Spring,Yes,No,Meat,Water,"Mathematics and statistics",7,8,6,"Yes - broadband connection","Internet chat or instant messaging",50,50,12,24,2,6,28,12,2,12,32,12,1,2,Some,"Graduate degree",Country,"Super strength",Happy,"Sports person",Health
USA,GA,2025,"12        ",Female,18,Left-Handed,159,24,154,1,Car,20,0.512,42,Other,600,600,500,600,500,500,23.9,"Same length",61,62,"Same length",December,Winter,Yes,No,Pizza/Pasta,Water,History,7,8,5,"Yes - broadband connection","Text messaging",40,50,10,5,10,10,5,5,10,25,10,10,20,5,"A lot","Graduate degree",Country,"Freeze time",Happy,Friend,Health
USA,NC,2025,"12        ",Male,18,Right-Handed,185.4,26,178,1,Car,"6 ",0.3,42,Basketball,818,877,1000,1000,567,513,26,"Same length",80,70,"Index finger",March,Spring,No,No,Meat,Water,History,6,8,6,"Yes - other","Text messaging",50,45,35,0,0,40,60,55,47,50,50,9,20,25,None,"Graduate degree",Other,"Freeze time",Healthy,Relative,Health
USA,NC,2025,"11        ",Female,14,Right-Handed,160,23,160,1,Bus,10,0.41,36,Other,626,219,642,27,813,1000,23,"Same length",70,70,"Same length",June,Summer,No,No,Meat,Water,Science,6,12,4,"Yes - other","Cell phone",12,15,40,50,5,20,14,2,30,2,60,21,0,7,"A lot","Graduate degree",Country,Fly,Healthy,Friend,"Wildlife, animals"
USA,OR,2025,"12        ",Female,17,Right-Handed,161,25,172,2,Bus,21,.443,36,Other,400,300,790,750,800,900,25,"Same length",73,79,"Ring finger",August,Fall,Yes,No,"Rice/Noodle dishes",Tea,Other,7,7,3,"Yes - broadband connection","In person",1,10,33,3,2,86,10,33,34,2,46,46,0,15,Some,"Graduate degree","Heavy metal","Freeze time",Happy,Other,"Education/Youth development"
USA,WA,2025,"11        ",Female,16,Right-Handed,160,22,157.4,2,Car,3,0.378,28,Athletics,561,882,348,578,11,262,22,"Same length",62,76,"Ring finger",June,Summer,No,No,Fruit,Water,"Physical education",6-7,10,4,"Yes - other","In person",1,0,1,0,2,2,10,0,0,0,0,4,0,10,None,Other,Country,Telepathy,Happy,Other,"Wildlife, animals"
USA,SC,2025,"11        ",Male,18,Right-Handed,183,30,185,1,Car,10,0.4,45,Baseball/Softball,100,900,700,875,400,699,30,"Same length",10,8.75,"Same length",May,Winter,No,No,Pizza/Pasta,Water,Other,"7or 8",8-9,6,"Yes - other","Text messaging",150+,150+,20-24,1,4,4,3,5,4,7,10,1,10,3,Some,"High school",Other,Invisibility,Rich,Relative,Health
USA,ID,2025,"12        ",Male,26,Right-Handed,200,26.6,153,1,Car,10,.299,30,"Martial Arts",800,700,900,800,750,600,26.6,"Same length",76.2,85.7,"Ring finger",May,Fall,Yes,No,Meat,Water,Science,8,8,4,"Yes - broadband connection","Internet chat or instant messaging",1,9,4,,,,,,,,,,,,,,,,,,
USA,CA,2025,"12        ",Male,18,Right-Handed,183,27,189,1,Car,18,.67,41,Skateboarding/Rollerblading,802,759,936,695,620,706,27,"Same length",85,80,"Index finger",May,Summer,Yes,No,Pizza/Pasta,Water,History,7.5,9,5,"Yes - broadband connection","In person",100,300,20,2,5,7,3,14,8,3,5,6,4,2,Some,"Graduate degree","Rock and roll","Super strength",Happy,Relative,Religious
USA,CA,2025,"12        ",Female,18,Right-Handed,160,23,,1,Car,10,0.392,52,Soccer,733,909,246,824,690,957,23,"Same length",7,7,"Same length",February,Summer,No,No,Seafood,Water,English,9,11,3,"Yes - other","Text messaging",10,20,20,1,2,10,1,0,30,1,3,60,6,6,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Other,"Wildlife, animals"
USA,WA,2025,"12        ",Male,16,Right-Handed,175,24,53,2,Car,15,0.357,"30 ",Walking/Hiking,800,800,500,600,200,500,23,"Right foot",11.2,3,"Ring finger",August,Summer,Yes,No,Seafood,Water,Science,7,2,5,"Yes - broadband connection","Cell phone",34,3555,6,7,4,7,6,1,2,4,2,11,44,2,"A lot","Graduate degree",Classical,Fly,Rich,Actor,Health
USA,SC,2025,"11        ",Female,17,Right-Handed,163,25,56,1,Car,10,3,5,Basketball,0,100,200,300,300,1000,25,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2025,"11        ",Male,17,Right-Handed,189,30,193,1,Bus,45,0.29,34,"Football (American)",900,600,500,600,700,700,30,"Same length",73,74,"Ring finger",February,Fall,Yes,No,Poultry,Water,Science,6,9,4,"Yes - broadband connection","In person",20,30,2,4,3,4,8,20,20,4,4,2,0,4,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person",Environment
USA,NC,2025,"12        ",Female,19,Right-Handed,180.3,21.59,177.8,2,Car,15,0.607,55,Other,85,0,19,19,0,85,20.59,"Right foot",14,8,"Ring finger",March,Summer,Yes,No,Seafood,"Energy drink",English,7,"6 ",4,"Yes - other","Text messaging",45,67,3,1,0,4,,,,,,,,,,,,,,,
USA,IN,2025,"11        ",Female,17,Left-Handed,166,23,169,1,Car,15,0.378,52,Skateboarding/Rollerblading,1000,727,733,428,251,749,23,"Same length",7.4,7.7,"Ring finger",May,Summer,Yes,No,Pizza/Pasta,Water,Art,7,7,5,"Yes - broadband connection","Text messaging",10,8,5,0,3,3,0,1,7,2,12,2,10,2,Some,"Graduate degree","Punk rock",Invisibility,Happy,"Musician or singer",Environment
USA,NC,2025,"10        ",Female,15,Right-Handed,160,25,160,2,Car,25,0.49,60,Other,,,,,,,25,"Same length",76,89,"Index finger",May,Spring,Yes,No,Desserts,Water,English,7,9,3,"Yes - other","Internet chat or instant messaging",8,500,10,10,5,3,1,2,10,2,4,1,4,2,"A lot",Other,"Rap/Hip hop","Freeze time",Happy,Relative,"Wildlife, animals"
USA,NC,2025,"12        ",Male,18,Ambidextrous,183,26,183,2,Car,25,.343,49,Baseball/Softball,781,679,807,872,898,872,26,"Same length",80,80,"Same length",August,Fall,No,No,Meat,Water,Science,8,10,4,"Yes - broadband connection","Cell phone",242,485,1,1,0,0,1,20,8,20,2,1,30,1,"Very little","Undergraduate degree",Country,Fly,Happy,Relative,Religious
USA,NC,2025,"12        ",Female,18,Right-Handed,162,24,169,1,Car,5,0.341,41,Skateboarding/Rollerblading,900,900,900,900,850,900,25,"Left foot",75,"75 mm","Same length",April,Fall,Yes,No,Meat,Water,History,6,7,3,"Yes - broadband connection","Cell phone",100,200,6,30,8,3,1,5,6,7,10,5,0,2,"A lot","Some college",,Fly,Rich,"Musician or singer","Wildlife, animals"
USA,WI,2025,"11        ",Female,17,Ambidextrous,130,9.6,130,2,Car,8,0.288,36,Dancing,914,807,604,631,508,508,9.6,"Same length",65,68,"Ring finger",July,Fall,Yes,No,"Rice/Noodle dishes",Water,Languages,6,7,5,"Yes - broadband connection","Internet chat or instant messaging",100,150,10,1,10,30,5,30,15,25,15,10,20,20,"A lot","Graduate degree",Other,Fly,Happy,Teacher,Environment
USA,MA,2025,"12        ",Male,18,Right-Handed,167,25.3,,1,Car,10,.305,,None,750,750,750,750,750,750,25.2,"Right foot",72,68,"Ring finger",January,Fall,Yes,No,Pizza/Pasta,Juice,"Physical education",7,9,3,"Yes - other","In person",15,20,3,0,5,3,2,2,0,10,20,3,35,0,"A lot","High school","Rock and roll",Telepathy,Rich,"Sports person","Wildlife, animals"
USA,GA,2025,"12        ",Female,17,Right-Handed,156,21.91,154.9,2,Car,60,.385,40,Athletics,,,,,,,21.91,"Same length",65,80,"Ring finger",September,Spring,Yes,No,Pizza/Pasta,Water,"Social studies",8,10,5,"Yes - broadband connection","In person",15,24,40,2,20,15,40,1,5,2,40,15,20,18,Some,Other,,Telepathy,,"Religious figure","Education/Youth development"
USA,SC,2025,"11        ",Male,17,Right-Handed,188,30.5,188,1,Car,10,0.348,43,None,1000,500,1000,1000,0,1000,30.5,"Same length",4,4,"Ring finger",December,Winter,No,No,Other,"Soft drink (caffeinated)",English,10,4,5,"Yes - broadband connection","In person",150,160,48,6,1,3,1,1,100,100,5,0,40,5,Some,"High school",Country,Telepathy,Rich,Other,Environment
USA,WA,2025,"12        ",Male,16,Right-Handed,175,25,180,1,Walk,5,0.479,46,None,807,658,556,422,604,1000,23,"Right foot",62,64,"Ring finger",July,Fall,No,No,Meat,Water,Art,4,3,4,"Yes - other","Text messaging",200,200,5,100,2,15,1,70,10,100,50,10,0,10,Some,"Some college","Rap/Hip hop",Invisibility,Rich,Other,"Wildlife, animals"
USA,VA,2025,"9         ",Male,16,Right-Handed,180,33,190,1,Walk,30,0.98,,None,0,0,0,0,0,0,33,"Same length",11,10,"Index finger",August,Winter,No,No,Meat,Milk,Other,10,14,3,"Yes - broadband connection","In person",5k,10k,0,0,2,0,2,0,0,0,0,0,0,1,None,"High school",Other,"Super strength",Healthy,Other,Other
USA,NJ,2025,"12        ",Male,18,Right-Handed,182,25,177,1,Car,22,.341,42,Baseball/Softball,250,250,200,260,1000,1000,25,,65,70,"Ring finger",October,Summer,No,No,Meat,Water,"Physical education",6,9,3,"Yes - other","Cell phone",2,5,25,15,2,3,20,4,10,1,40,3,0,7,"Very little","Graduate degree",Country,"Freeze time",Rich,Relative,Health
USA,NC,2025,"12        ",Male,18,Right-Handed,185.9,28.6,22,2,Car,20,0.36,49,Bowling,700,500,700,700,400,600,28.6,"Same length",10,8,"Index finger",January,Fall,Yes,No,Fruit,Juice,"Physical education",8,8,4,"Yes - broadband connection","Text messaging",3,28,12,2,1,3,9,15,20,5,5,2,5,2,Some,"High school",Gospel,"Freeze time",Happy,"Religious figure",Religious
USA,SC,2025,"11        ",Female,16,Right-Handed,160.0,23,161.8,1,Car,18,2.019,55,None,500,450,500,600,350,800,23,"Same length",8.3,7.3,"Ring finger",April,Fall,No,No,Seafood,Water,History,7,10,5,"Yes - broadband connection","Text messaging",20,20,4,4,2,5,1,2,3,2,2,2,0,1,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,"Doctor or nurse","Wildlife, animals"
USA,VT,2025,"12        ",Male,16,Right-Handed,177.8,30,176,2,Car,4,0.258,36,"Table Tennis",1000,800.1,735.3,657.5,1000,1000,29,"Right foot",23mm,27mm,"Ring finger",July,Winter,No,No,Meat,Coffee,History,6,14,3,"Yes - other","Text messaging",600,200,65,90,0,6,.2,100,100,80,150,23,15,2,"Very little","Graduate degree",Classical,Telepathy,Healthy,Relative,Other
USA,CA,2025,"12        ",Female,17,Right-Handed,155,20,157,2,Bus,35,0.555,47,Soccer,900,900,1000,1000,1000,1000,22,"Left foot",65,60,"Index finger",June,Summer,No,No,Desserts,Coffee,"Mathematics and statistics",6,8,5,"Yes - broadband connection","In person",150,300,40,1,0,7,12,0,1,4,49,25,17,4,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,Environment
USA,NC,2025,"11        ",Male,17,Right-Handed,188,27,191,1,Car,10," 0.26",26,Walking/Hiking,1000,1000,900,800,1000,1000,27,"Same length",108,120,"Ring finger",June,Fall,No,No,Poultry,Water,Science,8,4,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,0,0,3,17,12,16,12,12,10,7,0,6,Some,Other,Country,Fly,Happy,Friend,"Wildlife, animals"
